Quote_ID,Paper_ID,Theme_Code,Claim_Type,Exact_Quote,Page_Number,PDF_Section,Paraphrase,How_It_Can_Be_Used_In_Review,Confidence_1_5
P001-Q01,P001,AI_AUTOMATION,Theme assignment,"Published as a conference paper at ICLR 2026 AI-FOR-SCIENCELOW-CODEPLATFORM WITH BAYESIANADVERSARIALMULTI-AGENTFRAMEWORK Zihang Zeng1,2#, Jiaquan Zhang1,2#, Pengze Li1, Yuan Qi1,3, Xi Chen1,3† 1Artificial Intelligence Innovation and Incubation Institute, Fudan University 2Shanghai Innovation Institute 3Shanghai Academy of AI for Science x_chen@fudan.edu.cn ABSTRACT Multi-agent systems leveraging Large Language Models (LLMs) show immense potential for solving complex scientific problems.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P001-Q02,P001,QUALITY_TESTING,Theme assignment,2.3 A PRIORI ESTIMATION WITHBAYESIANOPTIMIZATION We noticed that executing all the generated codes for testing can be computationally expensive.,5,Method/Approach,Evidence related to Quality assurance and testing.,Use as evidence in the Findings section.,4
P001-Q03,P001,PLATFORM_COMPARISON,Theme assignment,"Published as a conference paper at ICLR 2026 Figure 1: Comparison between three code generation paradigms: Single LLM generator, multi-agent role playing and the proposed Bayesian adversarial multi-agent framework. constrain the performance ceiling of LLM-based coding platforms, as their capabilities are inherently bounded by the underlying LLM’s intelligence level.",2,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P001-Q04,P001,AI_AUTOMATION,Method,"Our framework employs three agents in a recursive loop that adversarially co-optimizes the generated solutions, the test cases used for evaluation, and the prompts driving generation.",1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P002-Q01,P002,MDE_VISUAL_PROGRAMMING,Theme assignment,"Low-code development, the latest reincarnation of model-driven engineering approaches, addresses this demand but introduces challenges related to the growing complexity of modern software requirements, such as AI-powered agents.",2,Abstract/Introduction,Evidence related to Model-driven / visual programming roots.,Use as evidence in the Background section.,4
P002-Q02,P002,AI_AUTOMATION,Theme assignment,"LOW-CODE AND NO-CODE WITHBESSERTO CREATE AND DEPLOY SMART WEB APPLICATIONS Iván Alfonso Luxembourg Institute of Science and Technology, Luxembourg ivan.alfonso@list.lu Armen Sulejmani Luxembourg Institute of Science and Technology, Luxembourg armen.sulejmani@list.lu Aaron Conrardy Luxembourg Institute of Science and Technology, Luxembourg University of Luxembourg, Luxembourg aaron.conrardy@list.lu Jordi Cabot Luxembourg Institute of Science and Technology, Luxembourg University of Luxembourg, Luxembourg jordi.cabot@list.lu ABSTRACT The increasing demand for web applications containing AI-agents, seen as smart web applications, has prompted the need for new techniques to facilitate their creation.",2,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P002-Q03,P002,MAINTAINABILITY,Theme assignment,"Existing low-code platforms are commercial, leading to drawbacks such as the risk of vendor lock-in, limited extensibility, and more.",2,Abstract/Introduction,Evidence related to Maintainability.,Use as evidence in the Findings section.,4
P002-Q04,P002,MDE_VISUAL_PROGRAMMING,Method,"View components are mapped to React components including data tables, interactive forms, method invocation buttons, and chart visualizations.",4,Conclusion/Future work,Evidence related to Model-driven / visual programming roots.,Use as evidence in the Background section.,4
P003-Q01,P003,AI_AUTOMATION,Theme assignment,The integration of LCNC platforms with Generative Artificial Intelligence (GenAI) represents a further shift in software creation workflows.,1,Abstract/Introduction,Evidence related to AI and automation.,Use as evidence in the Findings/Future section.,4
P003-Q02,P003,PLATFORM_COMPARISON,Theme assignment,Guthardt T. [40] 2024 Empirical comparison of programmers and citizen developers using a prototype no-code builder.,7,Limitations/Validity,Evidence related to Platform comparison.,Use as evidence in the Findings section.,4
P003-Q03,P003,USABILITY_UX,Theme assignment,"This paper presents a systematic literature review examining how generative no-code systems make design and aesthetic decisions with respect to layout structure, visual consistency, usability, accessibility, and reproducibility.",1,Abstract/Introduction,Evidence related to Usability and user experience.,Use as evidence in the Findings section.,4
